preprocessing_step,snr,cnr,mse,psnr,ssim,relative_psnr,relative_rmse,file_path
No preprocessing,10.548529,9.869225,-1,-1,-1,18.450061082839966,511.1521,data/raw_pt/sub-A00002480_ses-20110101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,9.747827,8.928196,-1,-1,-1,17.245900630950928,833.1804,data/raw_pt/sub-A00014522_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,8.672622,8.055583,-1,-1,-1,18.033595085144043,781.25336,data/raw_pt/sub-A00021072_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,9.105539,8.349936,-1,-1,-1,17.29175090789795,617.99695,data/raw_pt/sub-A00024663_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,12.750204,12.079455,-1,-1,-1,17.366960048675537,543.51953,data/raw_pt/sub-A00027787_ses-20110101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,9.983219,9.331049,-1,-1,-1,18.73752474784851,853.25323,data/raw_pt/sub-A00014590_ses-20110101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,9.600405,8.982993,-1,-1,-1,17.40437388420105,651.0855,data/raw_pt/sub-A00017294_ses-20110101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,14.028997,13.34832,-1,-1,-1,17.83379077911377,618.95245,data/raw_pt/sub-A00028052_ses-20110101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,10.649114,10.05776,-1,-1,-1,17.706336975097656,557.25775,data/raw_pt/sub-A00035836_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,11.894587,11.259743,-1,-1,-1,17.902804613113403,689.08954,data/raw_pt/sub-A00022687_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,10.106409,9.497197,-1,-1,-1,17.435039281845093,797.27563,data/raw_pt/sub-A00020787_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,10.175327,9.520895,-1,-1,-1,17.548964023590088,761.40186,data/raw_pt/sub-A00024546_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,8.090192,7.4055786,-1,-1,-1,16.8823504447937,599.51935,data/raw_pt/sub-A00015518_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,12.261633,11.50451,-1,-1,-1,21.475725173950195,945.9182,data/raw_pt/sub-A00019750_ses-20120101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,10.047125,9.317649,-1,-1,-1,16.70462727546692,540.59937,data/raw_pt/sub-A00018335_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,11.88195,11.188237,-1,-1,-1,22.051568031311035,885.32886,data/raw_pt/sub-A00022729_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,10.660778,10.065136,-1,-1,-1,19.558078050613403,961.1692,data/raw_pt/sub-A00037495_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,10.336012,9.648718,-1,-1,-1,18.13066005706787,533.7814,data/raw_pt/sub-A00006754_ses-20110101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,13.112348,12.471252,-1,-1,-1,17.066041231155396,630.1473,data/raw_pt/sub-A00034273_ses-20120101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,9.612181,8.922446,-1,-1,-1,17.233917713165283,464.33136,data/raw_pt/sub-A00019349_ses-20100101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,10.954042,10.336734,-1,-1,-1,18.755056858062744,863.0877,data/raw_pt/sub-A00037007_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,13.036947,12.302177,-1,-1,-1,17.109497785568237,600.8652,data/raw_pt/sub-A00023143_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,11.208712,10.528084,-1,-1,-1,16.511892080307007,435.73877,data/raw_pt/sub-A00020414_ses-20100101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,11.618894,11.007305,-1,-1,-1,19.69188690185547,926.1699,data/raw_pt/sub-A00024932_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,8.889358,8.162402,-1,-1,-1,20.218815803527832,861.0507,data/raw_pt/sub-A00023158_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,11.264225,10.560314,-1,-1,-1,17.389512062072754,484.39175,data/raw_pt/sub-A00018129_ses-20100101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,8.097082,7.4182696,-1,-1,-1,19.427177906036377,1046.2156,data/raw_pt/sub-A00028402_ses-20120101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,9.263634,8.515619,-1,-1,-1,19.52953815460205,877.5943,data/raw_pt/sub-A00024301_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,11.167662,10.503398,-1,-1,-1,17.610797882080078,638.2626,data/raw_pt/sub-A00036844_ses-20130101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,11.087295,10.495029,-1,-1,-1,18.05464744567871,690.1216,data/raw_pt/sub-A00035751_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,8.655601,7.9272537,-1,-1,-1,19.02081608772278,749.4108,data/raw_pt/sub-A00012767_ses-20100101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,10.2935915,9.676355,-1,-1,-1,17.926015853881836,644.4467,data/raw_pt/sub-A00001181_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,8.582338,7.838354,-1,-1,-1,16.445432901382446,524.5606,data/raw_pt/sub-A00023366_ses-20090101_acq-mprage_run-01_T1w.nii.pt
